Address,Case Number,Crime Against,Neighborhood,Occur Date,Occur Month Year,Occur Time,Offense Category,Offense Count,Offense Type
6600 BLOCK OF NE GLISAN ST                                                                                        ,18-41893,Property,North Tabor,2/5/2018,2/1/2018,1453,Larceny Offenses,1,Shoplifting
700 BLOCK OF SW KING AVE                                                                                         ,18-54665,Property,Goose Hollow,2/16/2018,2/1/2018,600,Burglary,1,Burglary
2200 BLOCK OF NW JOHNSON ST                                                                                       ,18-902626,Property,Northwest,2/14/2018,2/1/2018,1700,Vandalism,1,Vandalism
SE 6TH AVE / SE WASHINGTON ST,18-902629,Property,Buckman West,2/8/2018,2/1/2018,2330,Vandalism,1,Vandalism
6700 BLOCK OF SE FOSTER RD                                                                                        ,18-17347,Property,Foster-Powell,1/16/2018,1/1/2018,240,Larceny Offenses,1,Theft of Motor Vehicle Parts or Accessories
3100 BLOCK OF NE 7TH AVE                                                                                          ,18-901146,Property,Eliot,1/17/2018,1/1/2018,1423,Larceny Offenses,1,All Other Larceny
8200 BLOCK OF N BURRAGE AVE                                                                                       ,18-902605,Property,Kenton,2/14/2018,2/1/2018,0,Larceny Offenses,1,Theft From Motor Vehicle
SE DIVISION ST / SE 35TH AVE,18-53813,Property,Richmond,2/15/2018,2/1/2018,1320,Larceny Offenses,1,Theft From Motor Vehicle
13400 BLOCK OF N WOODRUSH WAY                                                                                      ,18-58282,Property,St Johns,2/9/2018,2/1/2018,1352,Motor Vehicle Theft,1,Motor Vehicle Theft
1400 BLOCK OF SE 141ST AVE                                                                                        ,18-58028,Property,Hazelwood,2/18/2018,2/1/2018,2000,Burglary,1,Burglary
17100 BLOCK OF SE POWELL BLVD                                                                                      ,18-58048,Property,Centennial,2/18/2018,2/1/2018,2030,Burglary,1,Burglary
3100 BLOCK OF NE 8TH AVE                                                                                          ,18-902684,Property,Irvington,2/15/2018,2/1/2018,1345,Larceny Offenses,1,Theft From Motor Vehicle
3600 BLOCK OF SE 136TH AVE                                                                                        ,18-58983,Property,Powellhurst-Gilbert,2/19/2018,2/1/2018,2100,Motor Vehicle Theft,1,Motor Vehicle Theft
3100 BLOCK OF SE HOLGATE BLVD                                                                                     ,18-52925,Property,Reed,2/14/2018,2/1/2018,1400,Burglary,1,Burglary
12300 BLOCK OF SE DIVISION ST                                                                                      ,18-56359,Property,Powellhurst-Gilbert,2/17/2018,2/1/2018,1701,Larceny Offenses,1,Shoplifting
12400 BLOCK OF SE POWELL BLVD                                                                                      ,18-56938,Property,Powellhurst-Gilbert,2/18/2018,2/1/2018,333,Vandalism,1,Vandalism
4500 BLOCK OF NE 122ND AVE                                                                                        ,18-57435,Property,Argay,2/18/2018,2/1/2018,1739,Vandalism,1,Vandalism
300 BLOCK OF SE 97TH AVE                                                                                         ,18-58519,Property,Hazelwood,2/19/2018,2/1/2018,1730,Motor Vehicle Theft,1,Motor Vehicle Theft
2800 BLOCK OF NW 31ST AVE                                                                                         ,18-58038,Property,Northwest Industrial,2/19/2018,2/1/2018,922,Larceny Offenses,1,All Other Larceny
1600 BLOCK OF SE DIVISION ST                                                                                      ,18-902590,Property,Hosford-Abernethy,2/12/2018,2/1/2018,2130,Larceny Offenses,1,All Other Larceny
600 BLOCK OF SE GRAND AVE                                                                                        ,18-902598,Property,Buckman West,2/12/2018,2/1/2018,105,Larceny Offenses,1,All Other Larceny
3900 BLOCK OF SE 91ST AVE                                                                                         ,18-54713,Property,Lents,2/16/2018,2/1/2018,0,Vandalism,1,Vandalism
4500 BLOCK OF SE WOODSTOCK BLVD                                                                                   ,18-53932,Property,Woodstock,2/15/2018,2/1/2018,1508,Robbery,1,Robbery
SE HAROLD ST / SE 104TH AVE,18-55155,Property,Lents,2/16/2018,2/1/2018,1537,Robbery,1,Robbery
3100 BLOCK OF SE 89TH AVE                                                                                         ,18-58023,Property,Powellhurst-Gilbert,2/17/2018,2/1/2018,1500,Motor Vehicle Theft,1,Motor Vehicle Theft
SW 15TH AVE / W BURNSIDE ST,18-902678,Property,Goose Hollow,1/31/2018,1/1/2018,1705,Larceny Offenses,1,All Other Larceny
SW 15TH AVE / W BURNSIDE ST,18-902678,Property,Goose Hollow,1/31/2018,1/1/2018,1705,Fraud Offenses,1,Identity Theft
5000 BLOCK OF N BASIN AVE                                                                                         ,18-902685,Property,Overlook,2/15/2018,2/1/2018,630,Larceny Offenses,1,Theft From Motor Vehicle
6700 BLOCK OF SE HARNEY ST                                                                                        ,18-901117,Property,Brentwood-Darlington,1/9/2018,1/1/2018,2130,Larceny Offenses,1,All Other Larceny
3100 BLOCK OF SE GRANT ST                                                                                         ,18-23185,Property,Richmond,1/20/2018,1/1/2018,2100,Larceny Offenses,1,Theft From Motor Vehicle
SW 1ST AVE / SW WASHINGTON ST,18-46674,Society,Downtown,2/9/2018,2/1/2018,1200,Drug/Narcotic Offenses,1,Drug/Narcotic Violations
